,"Площадь
территории, 
тыс. км2","Численность 
 населения 
на 1 января 
2021 г., 
тыс. человек","Средне-
годовая численность
занятых, 
тыс. человек","Средне-
душевые денежные доходы 
(в месяц), руб.","Потреби-
тельские расходы
в среднем 
на душу населения 
(в месяц), руб.
","Средне-
месячная 
номиналь-
ная начис-
ленная 
заработная плата работников организаций, руб.","Валовой 
региональ-
ный
 продукт 
в 2019 г. ,
млрд руб.","Инвестиции 
в основной 
капитал, 
млрд руб.","Основные 
фонды в экономике 
(по полной учетной стоимости; на конец года),
млрд руб.","Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности, 
млрд руб.",,,,"Продукция 
сельского 
хозяйства - 
всего,
млрд руб.",в том числе,,"Ввод 
в действие 
жилых домов,
тыс. м2 
общей 
площади 
жилых 
помещений","Оборот 
розничной 
торговли, 
млрд руб.
","Сальдированный финансовый результат (прибыль минус убыток) деятельности организаций5), 
млрд руб."
,,,,,,,,,,"добыча 
полезных 
ископаемых","обрабаты-
вающие производства","обеспечение электрической энергией, газом и паром; кондиционирование воздуха","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",,"растение-
водства","животно-
водства",,,
Кировская область,"120,4","1 250,2","552,2",24 192,19 147,32 692,"370,3","66,4","1 533,6","1,4","255,6","40,3","8,8","48,9","17,0","31,9","460,4","205,1","15,8"
Нижегородская область ,"76,6","3 176,5","1 603,6",33 645,26 132,37 601,"1 621,9","383,1","5 857,1","1,5","1 356,6","108,3","34,5","84,0","40,1","43,9","1477,0","756,0","140,4"
Оренбургская область,"123,7","1 942,9","832,3",24 719,19 423,35 075,"1 107,2","199,0","3 380,8","481,1","310,3","65,0","24,3","141,7","86,4","55,3","967,2","330,3","60,5"
Пензенская область,"43,4","1 290,9","555,9",24 118,19 465,32 766,"449,0","94,7","1 952,2","1,9","262,5","21,7","7,3","129,1","73,8","55,3","852,0","222,3","22,8"
Самарская область,"53,6","3 154,2","1 597,4",29 893,23 916,38 748,"1 687,9","278,5","6 253,0","272,4","1 087,8","140,9","46,5","124,4","84,9","39,5","1 400,9","674,6","82,6"
Саратовская область,"101,2","2 395,1","1 009,4",24 046,18 933,33 545,"811,8","167,2","3 498,1","34,4","427,6","95,0","12,7","189,8","142,2","47,6","1 158,8","396,6","23,8"
Ульяновская область,"37,2","1 218,3","539,8",24 590,19 200,32 504,"420,3","80,6","1 284,8","14,1","276,1","26,3","9,7","56,9","40,9","16,0","1 034,2","202,3","4,3"
Уральский федеральный округ,"1 818,5","12 329,5","6 177,7",37 204,27 217,54 603,"13 227,7","3 146,9","49 847,6","5 435,8","5 134,9","722,1","174,0","339,8","134,4","205,4","6 953,7","2 828,4","1 480,4"
,,,,,,,,,,,,,,,,,,,
Курганская область,"71,5","818,6","309,8",21 860,16 824,33 182,"233,5","40,0","954,8","3,4","123,4","19,5","3,4","45,1","29,4","15,7","267,4","121,2","17,4"
