,z_nfm,zc1.1,zc6,zc5,zc9.7.2a,zc9.7.3a,zc9.7.1a,zc9.8a,zc9.101a,zc9.12a,ze1.1c,ze4,ze9.8b,ze11,ze12,ze44,ze14,ze16,zf12_a,zf14.8,zf14.12,zf14
3989,2.0,12000000.0,55.0,30.5,Нет,Да,Нет,Нет,Да,Нет,,20000.0,500.0,5500.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше месяца,Нет,Нет,100500.0
3990,3.0,12000000.0,55.1,39.0,Нет,Да,Нет,Нет,Нет,Да,40.0,30000.0,400.0,6000.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,Не больше месяца,Да,Нет,100500.0
3991,6.0,10000000.0,55.0,39.0,Нет,Нет,Нет,Нет,Нет,Нет,105.0,30000.0,1650.0,6000.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Да,Не больше двух недель,Да,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ
3992,3.0,12000000.0,86.0,49.0,Нет,Да,Нет,Нет,Нет,Нет,240.0,35000.0,1750.0,15000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Не больше двух недель,Да,Нет,148000.0
3993,2.0,9000000.0,38.0,19.8,Нет,Да,Нет,Нет,Нет,Нет,70.0,35000.0,900.0,6000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Да,Не больше двух недель,Нет,Да,168000.0
3994,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,51.0,31.0,Нет,Нет,Нет,Нет,Нет,Нет,,15000.0,1000.0,9050.0,Нет,"Не сортирует, но хотела бы",Нет,Да,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,Нет,Нет,57500.0
3995,3.0,12000000.0,50.0,30.0,Нет,Да,Нет,Нет,Да,Да,80.0,45000.0,2500.0,7050.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Да,Ни одного дня,Нет,Нет,ОТКАЗ ОТ ОТВЕТА
3996,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,50.7,30.0,Да,Нет,Нет,Нет,Да,Нет,45.0,25000.0,422.0,3600.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше месяца,Нет,Нет,46000.0
3997,3.0,12000000.0,68.7,56.7,Нет,Да,Нет,Да,Нет,Нет,148.0,25000.0,1350.0,6300.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Несколько месяцев,Нет,Нет,210000.0
3998,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,52.0,31.0,Нет,Нет,Нет,Нет,Нет,Нет,,14000.0,450.0,5000.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Да,Да,Несколько месяцев,Нет,Да,70000.0
3999,5.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,113.0,70.0,Нет,Да,Нет,Нет,Да,Да,42.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,1700.0,9500.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Несколько месяцев,Нет,Нет,ОТКАЗ ОТ ОТВЕТА
4000,5.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,73.0,42.0,Нет,Нет,Нет,Нет,Да,Нет,70.0,30000.0,1600.0,10000.0,Да,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше недели,Да,Нет,ОТКАЗ ОТ ОТВЕТА
4001,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,38.6,24.4,Нет,Нет,Нет,Нет,Да,Нет,120.0,20000.0,1200.0,5890.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,Нет,Нет,135500.0
4002,2.0,6000000.0,34.6,24.0,Нет,Да,Нет,Нет,Да,Нет,204.0,25000.0,700.0,2900.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Полгода и больше,Нет,Нет,59200.0
4003,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,36.0,16.0,Нет,Нет,Нет,Нет,Нет,Нет,,10000.0,550.0,4000.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Несколько месяцев,Нет,Нет,25000.0
